date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
01:59:02	113929/113929	---M--	200	added ('OK')	image/jpeg	date:Sun,%2004%20Apr%202021%2018:04:40%20GMT	https://themewar.com/html/bittanto/onepage/dark/assets/images/home_01/1.jpg	C:/Os%20meus%20Sites/portifolio/themewar.com/html/bittanto/onepage/dark/assets/images/home_01/1.jpg	(from https://themewar.com/html/bittanto/onepage/dark/index.html)
01:59:02	315/315	---MCZ	404	error ('Not%20Found')	text/html	date:Sat,%2004%20Feb%202023%2023:59:06%20GMT	https://themewar.com/html/bittanto/onepage/dark/blog.html	C:/Os%20meus%20Sites/portifolio/themewar.com/html/bittanto/onepage/dark/blog.html	(from https://themewar.com/html/bittanto/onepage/dark/index.html)
01:59:03	10102/10102	---M--	200	added ('OK')	image/jpeg	date:Sun,%2004%20Apr%202021%2005:25:30%20GMT	https://themewar.com/html/bittanto/onepage/dark/assets/images/blog/7.jpg	C:/Os%20meus%20Sites/portifolio/themewar.com/html/bittanto/onepage/dark/assets/images/blog/7.jpg	(from https://themewar.com/html/bittanto/onepage/dark/index.html)
01:59:04	12344/12344	---MCZ	200	added ('OK')	text/html	date:Wed,%2007%20Apr%202021%2017:25:28%20GMT	https://themewar.com/html/bittanto/onepage/dark/single_blog.html	C:/Os%20meus%20Sites/portifolio/themewar.com/html/bittanto/onepage/dark/single_blog.html	(from https://themewar.com/html/bittanto/onepage/dark/index.html)
01:59:04	7304/7304	---M--	200	added ('OK')	image/jpeg	date:Sun,%2004%20Apr%202021%2005:25:54%20GMT	https://themewar.com/html/bittanto/onepage/dark/assets/images/blog/8.jpg	C:/Os%20meus%20Sites/portifolio/themewar.com/html/bittanto/onepage/dark/assets/images/blog/8.jpg	(from https://themewar.com/html/bittanto/onepage/dark/index.html)
01:59:05	8894/8894	---M--	200	added ('OK')	image/jpeg	date:Sun,%2004%20Apr%202021%2005:26:00%20GMT	https://themewar.com/html/bittanto/onepage/dark/assets/images/blog/9.jpg	C:/Os%20meus%20Sites/portifolio/themewar.com/html/bittanto/onepage/dark/assets/images/blog/9.jpg	(from https://themewar.com/html/bittanto/onepage/dark/index.html)
01:59:05	3066/3066	---M--	200	added ('OK')	image/png	date:Wed,%2031%20Mar%202021%2016:59:24%20GMT	https://themewar.com/html/bittanto/onepage/dark/assets/images/home_01/3.png	C:/Os%20meus%20Sites/portifolio/themewar.com/html/bittanto/onepage/dark/assets/images/home_01/3.png	(from https://themewar.com/html/bittanto/onepage/dark/index.html)
01:59:06	9900/9900	---M--	200	added ('OK')	image/jpeg	date:Wed,%2031%20Mar%202021%2017:51:36%20GMT	https://themewar.com/html/bittanto/onepage/dark/assets/images/author/1.jpg	C:/Os%20meus%20Sites/portifolio/themewar.com/html/bittanto/onepage/dark/assets/images/author/1.jpg	(from https://themewar.com/html/bittanto/onepage/dark/index.html)
01:59:06	10740/10740	---M--	200	added ('OK')	image/jpeg	date:Thu,%2001%20Apr%202021%2005:13:12%20GMT	https://themewar.com/html/bittanto/onepage/dark/assets/images/author/2.jpg	C:/Os%20meus%20Sites/portifolio/themewar.com/html/bittanto/onepage/dark/assets/images/author/2.jpg	(from https://themewar.com/html/bittanto/onepage/dark/index.html)
01:59:06	15351/15351	---M--	200	added ('OK')	image/jpeg	date:Thu,%2001%20Apr%202021%2005:12:14%20GMT	https://themewar.com/html/bittanto/onepage/dark/assets/images/author/3.jpg	C:/Os%20meus%20Sites/portifolio/themewar.com/html/bittanto/onepage/dark/assets/images/author/3.jpg	(from https://themewar.com/html/bittanto/onepage/dark/index.html)
